age_group,month,n,mean,median,std,type
"[20,80]",1,169,25.7951501372332,23.395299911499,10.1347621487451,male
"[20,80]",2,154,29.9509014142187,25.3497858047485,19.68596218948,male
"[20,80]",3,156,26.4198887317212,23.1365547180176,13.3468245011617,male
"[20,80]",4,189,25.9895201749343,23.3899993896484,12.9418603257473,male
"[20,80]",5,162,27.2570454090834,24.75,12.6293511985097,male
"[20,80]",6,205,27.2882182821264,24.3999996185303,12.7739366931693,male
"[20,80]",7,173,25.6898451911079,23.4214401245117,10.8938157281504,male
"[20,80]",8,179,27.4899942484279,23.2999992370605,16.9070616577167,male
"[20,80]",9,161,24.4325182872748,23.6697692871094,9.52108377545054,male
"[20,80]",10,155,23.986811849806,22.8999996185303,9.71266859764082,male
"[20,80]",11,171,24.7218785257735,22.2000007629395,13.0252247557725,male
"[20,80]",12,193,25.880367426348,23.1338996887207,11.6242835863599,male
"[20,80]",1,184,25.3805624626495,23.3299999237061,11.2657908268839,female
"[20,80]",2,177,23.5373638616289,21.2700004577637,10.9978846314302,female
"[20,80]",3,196,26.2878929978793,25.1821556091309,12.0141157923142,female
"[20,80]",4,158,24.3607362722739,22.4067802429199,10.4210006990411,female
"[20,80]",5,163,24.7090768902939,23.2999992370605,9.69560852431387,female
"[20,80]",6,195,24.9292651795849,23.1000003814697,11.4550713760313,female
"[20,80]",7,216,24.659146678782,23.6710252761841,11.3136654100445,female
"[20,80]",8,174,22.7559041838313,20.8999996185303,9.66354528146863,female
"[20,80]",9,167,24.3240619659424,22.8400001525879,11.3942113548906,female
"[20,80]",10,178,23.8837339200757,22.1400003433228,11.4623730878219,female
"[20,80]",11,168,23.4661168965949,22.2150001525879,11.415323443636,female
"[20,80]",12,204,24.4553936967755,23.3107204437256,9.7478958344752,female
"[20,80]",1,353,25.7508314559263,23.395299911499,11.5756302539178,both
"[20,80]",2,331,26.5637558992148,23,16.0541971573351,both
"[20,80]",3,352,26.4521628706796,24.2049999237061,12.9796215979119,both
"[20,80]",4,347,25.3117250262827,22.8999996185303,12.0848095916224,both
"[20,80]",5,325,26.0452363646067,24.179500579834,11.5794406493928,both
"[20,80]",6,400,26.0939340615392,23.8709802627564,12.2022197078155,both
"[20,80]",7,389,25.2246018441765,23.4998607635498,11.5758622206327,both
"[20,80]",8,353,25.2782806344861,22.1599998474121,14.3729406981667,both
"[20,80]",9,328,24.4988976402517,23.1000003814697,10.9609931107783,both
"[20,80]",10,333,24.0170374017468,22.4099998474121,10.9903575881593,both
"[20,80]",11,339,24.3319669901794,22.2000007629395,13.3211106843348,both
"[20,80]",12,397,25.2014172360867,23.1399993896484,10.9225483485401,both
,1,3,17.8999996185303,17.8999996185303,,both
,2,1,26.1000003814697,26.1000003814697,,both
,3,1,12.3999996185303,12.3999996185303,,both
,4,3,15.1999998092651,15.1999998092651,,both
,5,3,21.4200000762939,21.4200000762939,,both
,6,5,15.8999999364217,17.7999992370605,4.46430272252798,both
,7,5,22.6866664886475,21.6599998474121,2.37287430238851,both
,8,2,,12.6999998092651,,both
,9,2,,10.9700002670288,,both
,10,3,21.5,21.5,,both
,11,6,23.3925004005432,22.835000038147,2.94927564969524,both
,12,1,24.4200000762939,24.4200000762939,,both
