age_group,month,n,mean,median,std,type
"[20,80]",1,382314,140.200625670983,140,2.5060956029286,male
"[20,80]",2,359698,140.209644311242,140,2.51550751626079,male
"[20,80]",3,390736,140.216743860053,140,2.51469156132041,male
"[20,80]",4,345193,140.235135756672,140,2.54398723194375,male
"[20,80]",5,363324,140.281105139221,140,2.58319779897492,male
"[20,80]",6,384745,140.270510473148,140,2.57222182666106,male
"[20,80]",7,391004,140.259473324529,140,2.54502408709713,male
"[20,80]",8,374368,140.259413131121,140,2.51156941638947,male
"[20,80]",9,332054,140.177936045691,140,2.48866394093082,male
"[20,80]",10,336151,140.134149347239,140,2.51287829370098,male
"[20,80]",11,361294,140.170406537944,140,2.47765036532329,male
"[20,80]",12,386646,140.176644537333,140,2.46109469088516,male
"[20,80]",1,460745,139.921886576366,140,2.4760551185953,female
"[20,80]",2,442231,139.921839373235,140,2.47935668137978,female
"[20,80]",3,486956,139.938128046972,140,2.47401722670638,female
"[20,80]",4,435238,139.966801232622,140,2.49668936994225,female
"[20,80]",5,473413,140.059699590494,140,2.53685280167633,female
"[20,80]",6,508924,140.067943122395,140,2.53234993666193,female
"[20,80]",7,514823,140.046141311281,140,2.50759375765772,female
"[20,80]",8,489010,140.026067123607,140,2.46733448559661,female
"[20,80]",9,429384,139.941508797932,140,2.45511157850039,female
"[20,80]",10,436687,139.907428050408,140,2.48221962303656,female
"[20,80]",11,464398,139.937305619765,140,2.45303586967215,female
"[20,80]",12,479850,139.920428516347,140,2.44910456728889,female
"[20,80]",1,843059,140.04426818111,140,2.49444783084952,both
"[20,80]",2,801929,140.048775187552,140,2.50421414100581,both
"[20,80]",3,877692,140.060429820549,140,2.49247853528226,both
"[20,80]",4,780431,140.08080817459,140,2.51904386094844,both
"[20,80]",5,836737,140.151812500639,140,2.55979832039749,both
"[20,80]",6,893669,140.156555755355,140,2.54801062766179,both
"[20,80]",7,905827,140.136244229662,140,2.53010476872026,both
"[20,80]",8,863378,140.12379612272,140,2.49054285469002,both
"[20,80]",9,761438,140.042633897706,140,2.47672919536462,both
"[20,80]",10,772838,140.004044134797,140,2.50227171866608,both
"[20,80]",11,825692,140.040935230214,140,2.46306850897214,both
"[20,80]",12,866496,140.036589295498,140,2.45384209589083,both
,1,38733,139.927214172455,140,3.64824394596258,both
,2,37838,139.895477191281,140,3.70370368080943,both
,3,41180,139.999257973448,140,3.64143539353388,both
,4,37069,139.987455410111,140,3.62136303128837,both
,5,40203,140.088173130477,140,3.63391374535942,both
,6,41709,140.051186642634,140,3.61139853298926,both
,7,41048,139.995850027498,140,3.61864125607355,both
,8,37618,139.980709518184,140,3.66444145024786,both
,9,32880,139.837758538056,140,3.63160612809991,both
,10,34814,139.821103654688,140,3.66018215188412,both
,11,35754,139.90359921548,140,3.51752545671076,both
,12,37340,139.917095162524,140,3.51194074956416,both
