age_group,month,n,mean,median,std,type
"[20,80]",1,235,13.9308789461979,11,11.098665607721,male
"[20,80]",2,238,14.441711839983,10.1000003814697,13.1228392413546,male
"[20,80]",3,230,12.6165894186288,9.66499996185303,10.5497212060733,male
"[20,80]",4,238,13.0603169293727,9.17919969558716,12.0379529954608,male
"[20,80]",5,208,12.2122135926219,9.48040008544922,9.64786573276686,male
"[20,80]",6,238,11.3964203121298,9.44819974899292,8.09086465814773,male
"[20,80]",7,229,12.6662607676132,9.42000007629395,11.5079083361138,male
"[20,80]",8,276,13.5494905505737,9.56599998474121,17.330630468967,male
"[20,80]",9,199,12.9353644049107,9.31999969482422,9.40619262919259,male
"[20,80]",10,213,13.5218585268506,9.89999961853027,10.8476392480861,male
"[20,80]",11,224,12.2815711702312,9.5,9.26029345011583,male
"[20,80]",12,237,13.1415135658393,10.3000001907349,11.84082231529,male
"[20,80]",1,512,13.5104649654806,9.69999980926514,17.7795933469061,female
"[20,80]",2,478,13.2014369819345,9.92880010604858,17.1752103659342,female
"[20,80]",3,502,11.8719752458279,9.52559995651245,10.3267281349678,female
"[20,80]",4,471,11.0785125862561,9.10000038146973,8.08884746572703,female
"[20,80]",5,526,11.306284736586,8.84999990463257,8.83599751792539,female
"[20,80]",6,567,12.3173649298406,9.10000038146973,11.9786486635804,female
"[20,80]",7,611,11.2898732296547,8.9423999786377,8.55734267193642,female
"[20,80]",8,548,12.201153219509,9.24000024795532,10.1194127187901,female
"[20,80]",9,472,11.7079660538149,9.20499992370605,10.1372122483687,female
"[20,80]",10,543,11.3715127761615,9,9.87550954309109,female
"[20,80]",11,516,12.777658331255,9.6624002456665,15.5190933996944,female
"[20,80]",12,592,12.1195084777929,9.2007999420166,10.2937745333223,female
"[20,80]",1,747,13.8404595781493,10,16.8655070521644,both
"[20,80]",2,716,13.7091865492802,10,16.2136164652916,both
"[20,80]",3,732,12.2584136747334,9.60960006713867,11.1861646605805,both
"[20,80]",4,709,11.861467041423,9.10000038146973,10.2560272924137,both
"[20,80]",5,734,11.6512420793049,9.10000038146973,9.48304553242756,both
"[20,80]",6,805,12.0907128002694,9.10000038146973,11.0899203993112,both
"[20,80]",7,840,11.7406610890618,9,9.79875376010584,both
"[20,80]",8,824,12.9316389602756,9.3011999130249,15.2660090577885,both
"[20,80]",9,671,12.1652220903938,9.23999977111816,10.3304071789872,both
"[20,80]",10,756,12.0566610319229,9.19999980926514,10.4231072334657,both
"[20,80]",11,740,12.8322834445209,9.66120004653931,15.1278914295982,both
"[20,80]",12,829,12.5264579751641,9.52999973297119,11.3630933383489,both
,1,4,7.95799994468689,7.95799994468689,4.32466486064246,both
,2,6,9.47159993648529,7.64320015907288,5.97706012851234,both
,3,3,4.7519998550415,4.7519998550415,,both
,4,3,8.35200023651123,8.35200023651123,,both
,5,4,22.702799320221,22.702799320221,13.2896464917666,both
,6,6,12.4679998755455,14.2859997749329,6.56134853858843,both
,7,5,11.9578669865926,11.4336004257202,3.6483613776029,both
,8,8,6.73453334967295,5.55000019073486,3.2575750328585,both
,9,5,3.39999997615814,3.5,0.945163014259972,both
,10,8,6.92800009250641,6.88919997215271,2.72553862945271,both
,11,2,,6.30719995498657,,both
,12,2,,5.59439992904663,,both
