age_group,month,n,mean,median,std,type
"[20,80]",1,2077,2.09227477617738,2.04999995231628,0.473429336050477,male
"[20,80]",2,2065,2.09734004278563,2.02999997138977,0.477703214057993,male
"[20,80]",3,2227,2.10921918980875,2.03999996185303,0.4991872648439,male
"[20,80]",4,1872,2.06844698897776,2,0.526983154151558,male
"[20,80]",5,1884,2.03583782819357,1.96970421075821,0.507218305846948,male
"[20,80]",6,2074,1.99595436070482,1.94000005722046,0.473202275297344,male
"[20,80]",7,2142,1.97330187160647,1.92999994754791,0.471516104550437,male
"[20,80]",8,2017,1.98609940609922,1.94000005722046,0.422144225289155,male
"[20,80]",9,1819,2.02022123980457,1.96000003814697,0.547108020024966,male
"[20,80]",10,1791,1.99518952547037,1.92999994754791,0.490205432526033,male
"[20,80]",11,1889,2.02102009039026,1.96000003814697,0.47216766750866,male
"[20,80]",12,1953,2.08225494179743,2,0.558344804613827,male
"[20,80]",1,3976,2.17420669307091,2.07999992370605,0.617592876841728,female
"[20,80]",2,3935,2.1633244875037,2.07999992370605,0.614657984417673,female
"[20,80]",3,4217,2.1517031592883,2.03999996185303,0.638728894054426,female
"[20,80]",4,3747,2.12068778437451,2,0.640994035855899,female
"[20,80]",5,4061,2.09782897338724,2,0.652478730335951,female
"[20,80]",6,4365,2.06125379590025,1.96000003814697,0.598542073786024,female
"[20,80]",7,4517,2.03305461268111,1.94000005722046,0.574633192716678,female
"[20,80]",8,4271,2.04235725580765,1.92999994754791,0.579520720950835,female
"[20,80]",9,3787,2.05162405172774,1.96000003814697,0.59242086980924,female
"[20,80]",10,3709,2.07504284153175,1.99000000953674,0.600085575234675,female
"[20,80]",11,3777,2.08817152247628,1.99000000953674,0.581646235156724,female
"[20,80]",12,3866,2.13626485616625,2.01999998092651,0.577485449763302,female
"[20,80]",1,6053,2.14588795026999,2.0699999332428,0.573495001714183,both
"[20,80]",2,6000,2.14111919421392,2.05999994277954,0.572628542556962,both
"[20,80]",3,6444,2.13710362769397,2.03999996185303,0.592928452508071,both
"[20,80]",4,5619,2.10327101851904,2,0.605626843275105,both
"[20,80]",5,5945,2.07884043292374,1.99000000953674,0.614083117978472,both
"[20,80]",6,6439,2.04085041230755,1.95000004768372,0.565602121856557,both
"[20,80]",7,6659,2.01465461800384,1.92999994754791,0.549953244418508,both
"[20,80]",8,6288,2.02493883836106,1.94000005722046,0.536979753045745,both
"[20,80]",9,5606,2.04144062239825,1.96000003814697,0.578235526498905,both
"[20,80]",10,5500,2.04929420805968,1.96000003814697,0.567309743200205,both
"[20,80]",11,5666,2.06579967077688,1.98000001907349,0.548421221980529,both
"[20,80]",12,5819,2.11763831331267,2.00999999046326,0.568829446352186,both
,1,210,1.77533432841301,1.73500001430511,0.555669551064352,both
,2,248,1.78838783720645,1.76999998092651,0.490853307278246,both
,3,253,1.84080285213858,1.83000004291534,0.460441820978391,both
,4,166,1.86286948439552,1.80999994277954,0.496297508002831,both
,5,193,1.74867206967938,1.71000003814697,0.437072668926543,both
,6,224,1.76895976173504,1.74500000476837,0.448476687328331,both
,7,195,1.72034397705849,1.67999994754791,0.390263587239571,both
,8,177,1.80771932227271,1.76999998092651,0.395216763976446,both
,9,160,1.79294551475139,1.75999999046326,0.376671703324742,both
,10,148,1.90207186177985,1.84500002861023,0.428628182787748,both
,11,138,1.8179020491593,1.74500000476837,0.468598991911395,both
,12,152,1.84213754574458,1.79999995231628,0.422568156443643,both
