age_group,month,n,mean,median,std,type
"[20,80]",1,75,199.867797067721,164,150.280238578161,male
"[20,80]",2,63,204.995003792547,171.033203125,123.189320599791,male
"[20,80]",3,58,197.036966596331,167.25,109.419295287452,male
"[20,80]",4,68,191.538935430122,180.299995422363,86.7300082484247,male
"[20,80]",5,73,170.94819361727,153,85.5645752525458,male
"[20,80]",6,63,220.861843421811,192,119.88275405873,male
"[20,80]",7,90,178.559624411843,149.949996948242,108.794258341355,male
"[20,80]",8,55,188.939667899654,173.791793823242,86.7549317197142,male
"[20,80]",9,50,214.270694891612,171.100006103516,160.196626552595,male
"[20,80]",10,73,173.602726949772,172,77.1608270862861,male
"[20,80]",11,68,200.726159124663,167.620071411133,126.510718188837,male
"[20,80]",12,67,187.455984731821,161,119.007379351192,male
"[20,80]",1,169,144.722043477133,121,86.3369385438882,female
"[20,80]",2,167,197.186079476096,138,255.688300378144,female
"[20,80]",3,125,138.882212925733,116.400001525879,87.8972613753854,female
"[20,80]",4,133,133.270680730993,119,97.9513519864015,female
"[20,80]",5,157,140.070795736005,115,91.8711469816966,female
"[20,80]",6,142,154.453135544913,131.800003051758,107.171115270562,female
"[20,80]",7,160,142.986409114886,118.700000762939,96.2030013327059,female
"[20,80]",8,138,121.039316009073,110.122001647949,62.2321227360401,female
"[20,80]",9,136,120.946529772744,110.511650085449,64.2538797458042,female
"[20,80]",10,123,139.565901990797,123,81.5191047422483,female
"[20,80]",11,166,146.687933514758,124.700000762939,106.304272825449,female
"[20,80]",12,179,160.274924256707,134,107.96886979136,female
"[20,80]",1,244,163.632770443751,135.349998474121,120.111019850621,both
"[20,80]",2,230,201.799970827605,155.030456542969,229.621398540098,both
"[20,80]",3,183,158.883327663274,132.699996948242,104.337234862363,both
"[20,80]",4,201,156.111497974396,130.300003051758,113.835087856592,both
"[20,80]",5,230,150.234189000046,124.5,92.2815137913915,both
"[20,80]",6,205,177.503011825637,143.300003051758,125.126839679425,both
"[20,80]",7,250,156.821772490778,127.447319030762,104.936081908935,both
"[20,80]",8,193,140.675979494424,125,78.0817706611809,both
"[20,80]",9,186,146.113201276116,122.150001525879,107.815311560711,both
"[20,80]",10,196,153.061711061918,135.361557006836,84.7306407304757,both
"[20,80]",11,234,164.75494665113,136.900001525879,123.724942673612,both
"[20,80]",12,246,170.401231871277,143.25,123.10566502669,both
,1,2,,140.599998474121,,both
,2,2,,106.75,,both
,4,1,94.8000030517578,94.8000030517578,,both
,5,3,120.400001525879,120.400001525879,,both
,6,2,,48,,both
,7,1,173,173,,both
,8,2,,125,,both
,9,1,169,169,,both
,11,1,124.400001525879,124.400001525879,,both
,12,1,473.600006103516,473.600006103516,,both
