age_group,month,n,mean,median,std,type
"[20,80]",1,383841,57.6955177137418,57.7000007629395,9.29102751175471,male
"[20,80]",2,358946,57.7406478893709,57.7999992370606,9.26884901086684,male
"[20,80]",3,388535,57.8322143126423,57.9000015258789,9.29145684061445,male
"[20,80]",4,343471,57.7731222254699,57.7000007629395,9.39842513812736,male
"[20,80]",5,365211,57.6585516701693,57.5999984741211,9.31745813405527,male
"[20,80]",6,390166,57.5654159157741,57.5,9.24583171531206,male
"[20,80]",7,400217,57.4464750703904,57.4000015258789,9.27271065377622,male
"[20,80]",8,384699,57.271889686885,57.2000007629395,9.32335262357574,male
"[20,80]",9,340617,57.3983847983858,57.2999992370606,9.3536005397079,male
"[20,80]",10,344163,57.5485705275119,57.5,9.3398390622064,male
"[20,80]",11,369125,57.6497041152011,57.5999984741211,9.21386255302362,male
"[20,80]",12,392594,57.6445997808019,57.5999984741211,9.19540575457079,male
"[20,80]",1,482112,57.1974946044228,57.2999992370606,9.30980935655211,female
"[20,80]",2,460223,57.1984875300393,57.2999992370606,9.30618760438877,female
"[20,80]",3,502631,57.2155102000696,57.4000015258789,9.3028718997672,female
"[20,80]",4,449985,57.0189106004699,57.2000007629395,9.33240063764164,female
"[20,80]",5,492864,56.8678260666941,57,9.29966651131434,female
"[20,80]",6,533107,56.6867658232435,56.7999992370606,9.21882304671522,female
"[20,80]",7,544227,56.4291511894752,56.5,9.2598818206233,female
"[20,80]",8,519766,56.2185605978621,56.2999992370606,9.24944524624656,female
"[20,80]",9,460620,56.3584768826276,56.4000015258789,9.27178545516344,female
"[20,80]",10,467706,56.8373988786617,57,9.19871116929684,female
"[20,80]",11,491613,57.0564003510625,57.2000007629395,9.1270328846765,female
"[20,80]",12,504907,57.1180586269677,57.2999992370606,9.16603206980047,female
"[20,80]",1,865953,57.4177851522342,57.5,9.30372719361641,both
"[20,80]",2,819169,57.4359299466949,57.5,9.29352511499355,both
"[20,80]",3,891166,57.4835180580824,57.5999984741211,9.30237084700878,both
"[20,80]",4,793456,57.3455599857928,57.4000015258789,9.36894427349693,both
"[20,80]",5,858075,57.2043230099926,57.2999992370606,9.31534832254777,both
"[20,80]",6,923273,57.0577403761834,57.0999984741211,9.24032923176537,both
"[20,80]",7,944444,56.8597518878574,56.9000015258789,9.27875021634197,both
"[20,80]",8,904465,56.6663784475517,56.7000007629395,9.29519562777396,both
"[20,80]",9,801237,56.800074281921,56.7999992370606,9.31978997177886,both
"[20,80]",10,811869,57.1390960138566,57.2000007629395,9.26578982430094,both
"[20,80]",11,860738,57.3098494233711,57.4000015258789,9.16908760569163,both
"[20,80]",12,897501,57.3498904142153,57.4000015258789,9.1843161987755,both
,1,29765,61.0014407614991,60.7999992370606,10.7495289546358,both
,2,29208,60.972941538786,60.7999992370606,10.5062889157856,both
,3,31367,60.8393930545156,60.5999984741211,10.3864970105408,both
,4,28390,60.6161372266751,60.5,10.2766239167438,both
,5,31062,60.1442239939726,60,10.1518063726858,both
,6,32762,60.010067902512,59.9000015258789,9.9890825714979,both
,7,31980,59.7723837722915,59.7000007629395,10.1846674544218,both
,8,29643,59.9164210399981,59.7999992370606,10.3412124430129,both
,9,25898,60.3595674752968,60.0999984741211,10.4199702737349,both
,10,27537,60.4419780904161,60.0999984741211,10.5264580110309,both
,11,28178,60.3052025200111,60.2000007629395,10.1729151138045,both
,12,29095,60.5305861648342,60.2999992370606,10.2610188227642,both
