age_group,month,n,mean,median,std,type
"[20,80]",1,446,26.1693868862616,23.6850004196167,14.4697910699462,male
"[20,80]",2,449,27.1913508227474,24.1200008392334,16.078416658384,male
"[20,80]",3,471,27.9518681629889,23.2776699066162,20.334251167628,male
"[20,80]",4,456,26.4020853567754,23.1930904388428,16.4883910470402,male
"[20,80]",5,434,26.4788306123681,23.9843997955322,13.7071472178975,male
"[20,80]",6,553,27.876356567099,24,17.4541895968475,male
"[20,80]",7,516,26.0109175485396,23.4307203292847,13.9387794086911,male
"[20,80]",8,490,25.4036007425824,22.6000003814697,15.9406952864891,male
"[20,80]",9,436,24.4971120577254,22.6300001144409,11.2480299846901,male
"[20,80]",10,448,24.5189918725016,22.7362499237061,12.6976470299767,male
"[20,80]",11,456,25.5543983738853,23.2453699111939,15.2161473226761,male
"[20,80]",12,536,26.1539779200536,23.0500001907349,15.0727523599519,male
"[20,80]",1,545,25.0186609721316,22.2189998626709,13.7845055422512,female
"[20,80]",2,496,23.9732555715661,20.7000007629395,14.0703341959819,female
"[20,80]",3,566,26.2992560736677,23.8200750350952,14.5546563568879,female
"[20,80]",4,458,26.5620273466696,23.4867897033691,15.500041969887,female
"[20,80]",5,495,25.1237471727522,22.8999996185303,12.8673873513715,female
"[20,80]",6,516,25.3022798508522,22.9549999237061,13.9648901991848,female
"[20,80]",7,580,24.9338449738842,22.555549621582,15.3089107223961,female
"[20,80]",8,523,23.6249547755192,21.1000003814697,12.0047504368385,female
"[20,80]",9,451,24.1666353954239,22,11.9949635550222,female
"[20,80]",10,503,23.149344311027,21.4799995422363,11.6354296579798,female
"[20,80]",11,553,25.4275648416495,22.5699996948242,15.2506224377187,female
"[20,80]",12,580,24.3313088511926,22.3599996566772,11.9633239747452,female
"[20,80]",1,991,25.6354276900103,23,14.5966352676203,both
"[20,80]",2,945,25.5766735910359,22.4400005340576,15.5969788995956,both
"[20,80]",3,1037,27.037871726831,23.5,17.3247965598242,both
"[20,80]",4,914,26.5824884014172,23.2646007537842,16.4364843912322,both
"[20,80]",5,929,25.8650121627116,23.3700008392334,13.871471069841,both
"[20,80]",6,1069,26.7237480411386,23.5913505554199,16.1691981428947,both
"[20,80]",7,1096,25.428912464079,23,14.5902186079686,both
"[20,80]",8,1013,24.4694843438737,22.1000003814697,13.9659962790349,both
"[20,80]",9,887,24.3866846639558,22.4150505065918,11.8722359948469,both
"[20,80]",10,951,23.8923191431325,22,12.5173393112649,both
"[20,80]",11,1009,25.4719254621819,22.8463592529297,15.135472736375,both
"[20,80]",12,1116,25.2065833860593,22.8085746765137,13.5703030590455,both
,1,8,14.8311165173848,14.2433500289917,5.50719667167796,both
,2,2,,22.1000003814697,,both
,3,8,15.9124830563863,13.3000001907349,5.77112191545468,both
,4,11,15.0091999901666,15.1999998092651,3.67249797924933,both
,5,5,19.4066664377848,19.7999992370605,2.23609775878631,both
,6,8,16.7506000200907,17.5,3.13677712479166,both
,7,11,21.9885688357883,21.6599998474121,8.94623946542379,both
,8,11,11.853138923645,12.0243997573853,1.83696016057941,both
,9,11,21.8107764985826,12.6999998092651,14.3476233491961,both
,10,6,16.1500000953674,15.0500001907349,3.71348887245063,both
,11,11,16.6512557135688,13.6999998092651,6.82441089935378,both
,12,4,20.0149998664856,20.0149998664856,6.2296110389673,both
