age_group,month,n,mean,median,std,type
"[20,80]",1,14154,15.5701914597118,14.8000001907349,6.42910384750792,male
"[20,80]",2,13113,15.539106694945,14.8000001907349,6.52711701843676,male
"[20,80]",3,13898,15.6241096896926,14.8999996185303,6.55460311000491,male
"[20,80]",4,11684,15.4004301978174,14.5622396469116,6.56577028135133,male
"[20,80]",5,11781,15.3700318930962,14.5,6.55421820049692,male
"[20,80]",6,12520,15.3645895622548,14.5969123840332,6.49058378070447,male
"[20,80]",7,12845,15.4960057768358,14.6000003814697,6.63569993269496,male
"[20,80]",8,12457,15.4365006245139,14.6000003814697,6.74421544800316,male
"[20,80]",9,10907,15.4558432882184,14.6000003814697,6.5796686567953,male
"[20,80]",10,11061,15.4448905795437,14.6999998092651,6.45401718578259,male
"[20,80]",11,12610,15.2857204015495,14.5,6.44082657454205,male
"[20,80]",12,14157,15.3736275009482,14.6000003814697,6.45972562358319,male
"[20,80]",1,20686,1.61083880826257,1.5,0.677574470330952,female
"[20,80]",2,18782,1.61660265855768,1.5,0.658402449124985,female
"[20,80]",3,20430,1.6005640788662,1.5,0.653856791079721,female
"[20,80]",4,17244,1.61249452846887,1.5,0.670789970023318,female
"[20,80]",5,17838,1.61017240648415,1.5,0.67049250354114,female
"[20,80]",6,19238,1.6197806509565,1.5,0.675106855621288,female
"[20,80]",7,19897,1.6143056158446,1.5,0.641443868502625,female
"[20,80]",8,19783,1.60329641130529,1.5,0.647422315363591,female
"[20,80]",9,17863,1.58907329402891,1.5,0.63558759074659,female
"[20,80]",10,18198,1.58679253804997,1.5,0.641388212894645,female
"[20,80]",11,20009,1.59387529606971,1.5,0.647667997067512,female
"[20,80]",12,21603,1.5915477783479,1.5,0.635994255545124,female
"[20,80]",1,34840,7.26710691321159,2.20000004768372,7.96569184152525,both
"[20,80]",2,31895,7.32431095997978,2.20000004768372,7.99498379332715,both
"[20,80]",3,34328,7.26246553011088,2.20000004768372,8.01987453158412,both
"[20,80]",4,28928,7.16532462951489,2.20000004768372,7.91519093081972,both
"[20,80]",5,29619,7.06734868793856,2.1800000667572,7.87022174108672,both
"[20,80]",6,31758,7.02541498064519,2.17000007629395,7.82960341045236,both
"[20,80]",7,32742,7.04160909631191,2.09999990463257,7.91351136283382,both
"[20,80]",8,32240,6.92856364374183,2.09999990463257,7.89261602954198,both
"[20,80]",9,28770,6.82750371008328,2.08031988143921,7.81876352697509,both
"[20,80]",10,29259,6.8082278739763,2.08031988143921,7.7745605253951,both
"[20,80]",11,32619,6.86760796595373,2.09999990463257,7.74401475264288,both
"[20,80]",12,35760,7.02761467626769,2.09999990463257,7.83684177017135,both
,1,97,10.4662620378168,10.3999996185303,8.02514391234314,both
,2,82,9.9463403634727,9.04999971389771,7.55319717963516,both
,3,93,9.33963660093454,9,6.68855709441335,both
,4,68,11.8287750123577,12.6000003814697,7.41534605127421,both
,5,86,13.284651239713,12.6000003814697,7.15680942473745,both
,6,102,10.9603556549549,10.8000001907349,7.02232937446304,both
,7,92,12.4120335863696,11.7055516242981,7.91303666691362,both
,8,85,10.8129474556162,10.3000001907349,7.24397536430558,both
,9,83,10.9072515936913,10.1000003814697,8.10311840750255,both
,10,108,10.6318523950666,10.9000000953674,7.09215908814205,both
,11,93,11.2455058896935,10.6999998092651,7.84749795110299,both
,12,92,11.5873096704483,11.6999998092651,7.97233159803997,both
