age_group,month,n,mean,median,std,type
"[20,80]",1,466,6.149843741401,5.44400000572205,3.5916281008907,male
"[20,80]",2,387,5.93931642724322,5.7808198928833,3.24248449976593,male
"[20,80]",3,449,5.90431321534001,5.30000019073486,3.44936012435442,male
"[20,80]",4,355,6.08660414528712,5.61999988555908,3.65262238405316,male
"[20,80]",5,389,5.84710297489043,5.42999982833862,3.40284939228273,male
"[20,80]",6,396,5.70168840083374,5.45942807197571,3.13075802960744,male
"[20,80]",7,441,6.13403536172283,5.69999980926514,3.42664915249563,male
"[20,80]",8,402,5.87515177503228,5.49584984779358,3.12607357590957,male
"[20,80]",9,355,6.00310682929609,5.73000001907349,3.4725173277271,male
"[20,80]",10,347,5.80094643554826,5.59000015258789,3.18435955295817,male
"[20,80]",11,463,5.93074866747908,5.55999994277954,3.31740278947392,male
"[20,80]",12,465,6.0310867592274,5.61999988555908,3.42374954354131,male
"[20,80]",1,6316,4.42833684974675,3.94000005722046,2.46805602910873,female
"[20,80]",2,5650,4.41178368683739,3.91000008583069,2.55162890176234,female
"[20,80]",3,5975,4.41712161172422,3.98957991600037,2.53053540888829,female
"[20,80]",4,5096,4.35505638061711,3.90272307395935,2.43654821061825,female
"[20,80]",5,5437,4.33725907530653,3.88000011444092,2.4691635591886,female
"[20,80]",6,5960,4.25719376457022,3.79999995231628,2.44082899073311,female
"[20,80]",7,6234,4.14999220292668,3.70000004768372,2.36335989838271,female
"[20,80]",8,6255,4.14165433452424,3.69000005722046,2.36941176233633,female
"[20,80]",9,5663,4.10096177277376,3.66000008583069,2.38744475728265,female
"[20,80]",10,5893,4.15814901032605,3.6910400390625,2.40976257997871,female
"[20,80]",11,6579,4.30320866670394,3.85116600990295,2.50523887928597,female
"[20,80]",12,7099,4.37676580811765,3.94000005722046,2.47407225905102,female
"[20,80]",1,6782,4.54715096589891,4.01999998092651,2.59579052728549,both
"[20,80]",2,6037,4.50942869195209,4,2.62727814683871,both
"[20,80]",3,6424,4.52052863612655,4.03999996185303,2.63058873893919,both
"[20,80]",4,5451,4.46532987411308,3.9624400138855,2.56013126698111,both
"[20,80]",5,5826,4.43919854406376,3.94000005722046,2.57430303004426,both
"[20,80]",6,6356,4.34632724918685,3.85387992858887,2.51353942733055,both
"[20,80]",7,6675,4.28197504225892,3.76999998092651,2.50049043566893,both
"[20,80]",8,6657,4.24725677223516,3.76999998092651,2.46048862969475,both
"[20,80]",9,6018,4.2134115007482,3.7245180606842,2.50411343349869,both
"[20,80]",10,6240,4.24974927718793,3.75,2.48676996099688,both
"[20,80]",11,7042,4.40944073326017,3.94000005722046,2.59781033783363,both
"[20,80]",12,7564,4.48064761985563,4.01999998092651,2.57883849620949,both
,1,12,1.13834739327431,1.02499997615814,0.573130680666076,both
,2,8,1.62876334786415,1.35000002384186,0.753240668952233,both
,3,7,1.23600000143051,1.22000002861023,0.276278818806497,both
,4,5,1.02333335081736,0.910000026226044,0.431315801741894,both
,5,7,1.47829319238663,1.0014660358429,0.731245511920938,both
,6,12,1.7809999704361,1.23500001430511,1.32699698366214,both
,7,5,1.37063668171565,1.10000002384186,0.74384515234891,both
,8,1,1.10000002384186,1.10000002384186,,both
,9,2,,11.4349995851517,,both
,10,7,0.72369601726532,0.629999995231628,0.190051317377003,both
,11,5,2.02666666110357,1.82000005245209,1.46100417328329,both
,12,10,1.55000002682209,1.35000002384186,1.01792508873804,both
