age_group,month,n,mean,median,std,type
"[20,80]",1,6963,248.02566628395,191.489395141602,204.595088532793,male
"[20,80]",2,6491,245.395925439102,191.702163696289,189.929425571153,male
"[20,80]",3,6957,249.591996847759,191.489395141602,210.196428522216,male
"[20,80]",4,5722,257.164310794703,196,244.852607374837,male
"[20,80]",5,5761,255.055641818283,200.899993896484,206.750647992209,male
"[20,80]",6,5977,268.205711209984,204.893661499023,379.887255957055,male
"[20,80]",7,6262,265.740074165041,206.050003051758,216.079916822222,male
"[20,80]",8,6087,262.93839244004,208.199996948242,207.936351961099,male
"[20,80]",9,5292,261.526422620542,207,199.359831828582,male
"[20,80]",10,5458,251.921494347008,197.949996948242,194.123632012021,male
"[20,80]",11,6132,242.263892422863,191.063865661621,186.158407916281,male
"[20,80]",12,6782,251.040093819864,191.849998474121,248.629931438339,male
"[20,80]",1,24605,340.190565642347,251.100006103516,305.632205798256,female
"[20,80]",2,23511,342.338356304701,250.300003051758,307.745069937857,female
"[20,80]",3,25147,339.696765564185,252,303.769440447422,female
"[20,80]",4,22106,353.606196944582,258,330.797949528655,female
"[20,80]",5,22874,359.42432640053,263,336.511563799816,female
"[20,80]",6,24254,362.920451987753,267,335.395966818827,female
"[20,80]",7,25183,372.53059485265,273,345.585172419289,female
"[20,80]",8,24119,376.008128424736,278,340.125097441777,female
"[20,80]",9,22125,367.775574345893,272.100006103516,336.805677602819,female
"[20,80]",10,22224,347.165960835469,252,329.734156479086,female
"[20,80]",11,24123,333.706285886641,243.800003051758,312.128860713663,female
"[20,80]",12,25775,335.034811359873,246.399993896484,298.000633984184,female
"[20,80]",1,31568,319.86131266993,234.042602539063,288.961383923788,both
"[20,80]",2,30002,321.351037230329,234.042602539063,288.965835114619,both
"[20,80]",3,32104,320.168441158228,234.899993896484,288.494760408484,both
"[20,80]",4,27828,333.856584629836,242.800003051758,318.455999090686,both
"[20,80]",5,28635,338.370610709804,248.297927856445,316.938537993379,both
"[20,80]",6,30231,343.025607830987,253,323.95593576684,both
"[20,80]",7,31445,351.288001690444,255.957489013672,326.473624630864,both
"[20,80]",8,30206,353.225739478654,260.399993896484,321.200681405879,both
"[20,80]",9,27417,347.264375964381,255.319198608398,317.910722808371,both
"[20,80]",10,27682,328.389890200878,237.100006103516,309.659450316679,both
"[20,80]",11,30255,315.250363938922,231.300003051758,293.435110502139,both
"[20,80]",12,32557,317.249913674027,234,286.378921436152,both
,1,26,321.743977864583,185.5,444.985689013843,both
,2,17,212.057880655924,185,107.345816417052,both
,3,16,272.360791342599,197.5,306.986828140752,both
,4,17,260.341002400716,193,228.097069531673,both
,5,23,261.824329557873,206,215.451037918092,both
,6,25,233.366052378779,190.199996948242,185.619953347657,both
,7,13,277.247396295721,221,132.357499673837,both
,8,18,231.263299942017,194.349998474121,134.969555713945,both
,9,20,211.778844197591,170.5,105.878583256303,both
,10,23,238.610133943104,170.212799072266,184.701032134156,both
,11,13,157.582594438033,146,50.4304895822014,both
,12,13,164.736364191229,162.300003051758,40.593429659172,both
