age_group,month,n,mean,median,std,type
"[20,80]",1,423992,30.2379616638486,30.2000007629395,8.53748959290824,male
"[20,80]",2,396722,30.2693144667263,30.2000007629395,8.5158190781625,male
"[20,80]",3,429541,30.2060277612127,30.2000007629395,8.53668068500418,male
"[20,80]",4,378812,30.2105387426777,30.2000007629395,8.63462587481048,male
"[20,80]",5,400529,30.3352172308887,30.3999996185303,8.57469683822067,male
"[20,80]",6,425307,30.4623078521487,30.5,8.4982401379748,male
"[20,80]",7,435572,30.5936634195033,30.7000007629395,8.53732446830388,male
"[20,80]",8,418830,30.7483365099234,30.8999996185303,8.58250926854269,male
"[20,80]",9,372075,30.6227635971668,30.7999992370605,8.64368607801126,male
"[20,80]",10,377094,30.4433598634722,30.6000003814697,8.61379792244053,male
"[20,80]",11,404577,30.3406097265348,30.3999996185303,8.47761314032947,male
"[20,80]",12,431181,30.3084839496256,30.2999992370606,8.45548170800263,male
"[20,80]",1,531902,32.0718167444867,32,8.5153983830258,female
"[20,80]",2,509041,32.087537650676,32,8.51254830801691,female
"[20,80]",3,554908,32.0946637117446,32,8.49729332953761,female
"[20,80]",4,494531,32.2368386435554,32,8.50876616935183,female
"[20,80]",5,538122,32.3938229881647,32.2000007629395,8.4818279915563,female
"[20,80]",6,579895,32.5776078763352,32.4000015258789,8.39943166947722,female
"[20,80]",7,591230,32.8230856240825,32.7000007629395,8.46547639297167,female
"[20,80]",8,564076,33.0410749629141,33,8.4766700768487,female
"[20,80]",9,501429,32.893424275497,32.7999992370606,8.50834885841449,female
"[20,80]",10,511457,32.4364578127522,32.2999992370606,8.43142391702637,female
"[20,80]",11,538852,32.2120801633815,32,8.35434517168116,female
"[20,80]",12,555192,32.1390587353062,32,8.38311991501601,female
"[20,80]",1,955894,31.2601245954592,31.2000007629395,8.57231567537186,both
"[20,80]",2,905763,31.2906531266261,31.1000003814697,8.56355799246706,both
"[20,80]",3,984449,31.2707460124891,31.1000003814697,8.5668049346032,both
"[20,80]",4,873343,31.3575437356781,31.2000007629395,8.62295260875917,both
"[20,80]",5,938651,31.5162269015842,31.3999996185303,8.58346510157807,both
"[20,80]",6,1005202,31.6824492829832,31.6000003814697,8.50464530648531,both
"[20,80]",7,1026802,31.8770165674092,31.8999996185303,8.56731426879925,both
"[20,80]",8,982906,32.064382972252,32,8.59500948016855,both
"[20,80]",9,873504,31.9270826890897,32,8.64010322029843,both
"[20,80]",10,888551,31.5923167580186,31.6000003814697,8.564533250035,both
"[20,80]",11,943429,31.409395567828,31.2999992370606,8.45857489095649,both
"[20,80]",12,986373,31.3370426942006,31.2000007629395,8.46651484396771,both
,1,36712,26.9368556221109,27,9.89211221184686,both
,2,36142,26.9887590065253,27,9.70231521974529,both
,3,38986,27.1406605259309,27,9.65979493944971,both
,4,34977,27.3260048056344,27.2000007629395,9.61808816471881,both
,5,38294,27.7931399741203,27.7000007629395,9.58109583755327,both
,6,40305,27.9223229917938,27.7999992370606,9.39329070146308,both
,7,39099,28.2346473524902,28,9.48335378945582,both
,8,36323,28.082304968524,28,9.75082110492565,both
,9,32076,27.6387244633862,27.6000003814697,9.71183929644911,both
,10,33990,27.5242303823066,27.6000003814697,9.76028955088571,both
,11,34629,27.6602956876594,27.6000003814697,9.43672749775466,both
,12,35702,27.4491459641622,27.3999996185303,9.51160968590615,both
