age_group,month,n,mean,median,std,type
"[20,80]",1,465036,0.569589701477724,0.5,0.326977175958401,male
"[20,80]",2,437050,0.564051393518956,0.5,0.32989670407347,male
"[20,80]",3,476358,0.556182829679321,0.5,0.328393222026289,male
"[20,80]",4,424270,0.553118509961729,0.5,0.328319968957352,male
"[20,80]",5,450966,0.551328763056701,0.5,0.326427097441693,male
"[20,80]",6,479658,0.547278624556565,0.5,0.323181628268506,male
"[20,80]",7,490042,0.541791006429611,0.5,0.317389796715874,male
"[20,80]",8,469060,0.539021894398427,0.5,0.314342670943076,male
"[20,80]",9,414736,0.542140934696954,0.5,0.316029213391574,male
"[20,80]",10,418182,0.551851086369393,0.5,0.319727627473386,male
"[20,80]",11,445068,0.561280141701372,0.5,0.318654377513539,male
"[20,80]",12,473692,0.566898289967717,0.5,0.319935338545149,male
"[20,80]",1,631141,0.545552742877588,0.5,0.324827303256347,female
"[20,80]",2,604856,0.541717650288201,0.5,0.328378561028162,female
"[20,80]",3,664853,0.535636778309392,0.5,0.327965912040298,female
"[20,80]",4,598896,0.535454442467557,0.5,0.32875804002161,female
"[20,80]",5,656467,0.533406090895256,0.5,0.327267720337761,female
"[20,80]",6,706220,0.529413532089261,0.5,0.32363384353292,female
"[20,80]",7,718314,0.526406650572417,0.5,0.320692532054834,female
"[20,80]",8,681866,0.521338261073251,0.5,0.312690443411468,female
"[20,80]",9,602425,0.524448723172134,0.5,0.315857051873427,female
"[20,80]",10,610408,0.531601699151361,0.5,0.316350300656224,female
"[20,80]",11,639720,0.537919906517792,0.5,0.315081120123216,female
"[20,80]",12,657983,0.54155192834322,0.5,0.315776437974768,female
"[20,80]",1,1096177,0.555750175288602,0.5,0.325957502317148,both
"[20,80]",2,1041906,0.551085795822536,0.5,0.32920059279156,both
"[20,80]",3,1141211,0.544213251098392,0.5,0.328300589450381,both
"[20,80]",4,1023166,0.542654667125646,0.5,0.32825335730321,both
"[20,80]",5,1107433,0.54070478662809,0.5,0.327044074707007,both
"[20,80]",6,1185878,0.536713233879102,0.5,0.323834064354596,both
"[20,80]",7,1208356,0.532488840306538,0.5,0.318875127344624,both
"[20,80]",8,1150926,0.52854546573161,0.5,0.313485199137273,both
"[20,80]",9,1017161,0.531782790442804,0.5,0.316470126365674,both
"[20,80]",10,1028590,0.539834267076248,0.5,0.317883202977247,both
"[20,80]",11,1084788,0.54750458368511,0.5,0.316760438730896,both
"[20,80]",12,1131675,0.552161271492724,0.5,0.317769842736266,both
,1,44477,0.534025300468629,0.5,0.348295287646941,both
,2,44024,0.533720617696133,0.5,0.351514360219656,both
,3,48077,0.523313767946156,0.5,0.345203565930623,both
,4,43684,0.521988732069712,0.5,0.347734639870335,both
,5,47721,0.519784824572192,0.5,0.344871375426649,both
,6,50172,0.516818231816821,0.5,0.34279101581803,both
,7,48583,0.511897771321765,0.5,0.33859563811886,both
,8,44248,0.500941279821783,0.400000005960465,0.328324228222307,both
,9,38935,0.502292115971256,0.400000005960465,0.327608676812961,both
,10,40896,0.513855252367801,0.5,0.337494726263303,both
,11,41810,0.525304148612984,0.5,0.335769600100232,both
,12,43067,0.529440601422733,0.5,0.337462811080179,both
