age_group,month,n,mean,median,std,type
"[20,80]",1,499392,14.7683592851029,14.8999996185303,1.32328295069439,male
"[20,80]",2,471213,14.7581485124299,14.8999996185303,1.29731346199109,male
"[20,80]",3,512714,14.7370568099215,14.8000001907349,1.31279170543538,male
"[20,80]",4,453456,14.693198389273,14.8000001907349,1.31880480479715,male
"[20,80]",5,477737,14.655945993375,14.8000001907349,1.31322281670628,male
"[20,80]",6,504894,14.6182239070313,14.6999998092651,1.29401702306107,male
"[20,80]",7,514159,14.585079233486,14.6999998092651,1.29532078636103,male
"[20,80]",8,491691,14.5751647137825,14.6999998092651,1.29255538133872,male
"[20,80]",9,436505,14.5803812308517,14.6999998092651,1.31727435457343,male
"[20,80]",10,442173,14.6331664489675,14.6999998092651,1.32431001240362,male
"[20,80]",11,471901,14.7066446403392,14.8000001907349,1.32499761986858,male
"[20,80]",12,504382,14.7712470930922,14.8999996185303,1.30291433601426,male
"[20,80]",1,634373,12.9096654950177,13,1.17280473131737,female
"[20,80]",2,610199,12.9011419622353,13,1.16997735962795,female
"[20,80]",3,669405,12.8861650315185,13,1.17481229547625,female
"[20,80]",4,597378,12.8605066494676,12.8999996185303,1.17327962612272,female
"[20,80]",5,647834,12.8369317579421,12.8999996185303,1.17053707387039,female
"[20,80]",6,691564,12.8217213677796,12.8999996185303,1.15592382666825,female
"[20,80]",7,701005,12.8037973740518,12.8999996185303,1.15134569543218,female
"[20,80]",8,664023,12.802875397641,12.8999996185303,1.14541234880022,female
"[20,80]",9,588588,12.7982797953257,12.8999996185303,1.15616020311446,female
"[20,80]",10,599512,12.8323593644366,12.8999996185303,1.16143507045609,female
"[20,80]",11,632113,12.8867101233316,13,1.16077151277495,female
"[20,80]",12,654700,12.9130012604435,13,1.16208595329539,female
"[20,80]",1,1133765,13.7276203107491,13.6999998092651,1.54464002287786,both
"[20,80]",2,1081412,13.7099957580936,13.6999998092651,1.53290670182257,both
"[20,80]",3,1182119,13.6877623577749,13.6999998092651,1.53905519947558,both
"[20,80]",4,1050834,13.6499904382757,13.6000003814697,1.53377915296476,both
"[20,80]",5,1125571,13.6081911091485,13.6000003814697,1.52498672969892,both
"[20,80]",6,1196458,13.5791316548559,13.6000003814697,1.50344402555217,both
"[20,80]",7,1215164,13.557303810243,13.5,1.49709132423564,both
"[20,80]",8,1155714,13.5565679415579,13.5,1.4922430047037,both
"[20,80]",9,1025093,13.5562981138361,13.5,1.50868481953748,both
"[20,80]",10,1041685,13.5957102999382,13.6000003814697,1.52001582882159,both
"[20,80]",11,1104014,13.6634677649582,13.6000003814697,1.52507309562552,both
"[20,80]",12,1159082,13.720577842702,13.6999998092651,1.53165614011858,both
,1,45975,12.7438232203948,12.8999996185303,1.64112328893163,both
,2,45657,12.7246385611217,12.8000001907349,1.61891156959311,both
,3,49465,12.7531321900645,12.8999996185303,1.59998924110833,both
,4,44619,12.732531440394,12.8000001907349,1.59834014318823,both
,5,48378,12.7422773120343,12.8000001907349,1.55488919783335,both
,6,50714,12.7282535589036,12.8000001907349,1.52734535060541,both
,7,49189,12.7072432120856,12.8000001907349,1.5366257571833,both
,8,45050,12.6790788386245,12.8000001907349,1.54668816706455,both
,9,39747,12.6365001271707,12.6999998092651,1.57116393012763,both
,10,41607,12.6905035629586,12.8000001907349,1.58177166933786,both
,11,42743,12.7879461806667,12.8999996185303,1.57815920620905,both
,12,44154,12.7995146482122,12.8999996185303,1.60159703795998,both
