age_group,month,n,mean,median,std,type
"[20,80]",1,351056,78.1459386799166,74,25.1526949082494,male
"[20,80]",2,332237,78.873081980003,75,26.0706539645667,male
"[20,80]",3,360118,78.6144831002129,75,25.3532585310367,male
"[20,80]",4,316536,78.2920713252124,74,25.8988237512134,male
"[20,80]",5,332385,77.6038172058746,74,25.8263348772046,male
"[20,80]",6,354327,76.9901321704888,73,25.7188181409291,male
"[20,80]",7,359323,76.4376609107326,72,26.4888213324593,male
"[20,80]",8,342220,75.767598401615,72,25.5147935695631,male
"[20,80]",9,302104,76.0153354515799,72,26.5467955374344,male
"[20,80]",10,305681,76.3370438960598,72,26.0766553255585,male
"[20,80]",11,329439,76.7324307313431,73,24.8064055570371,male
"[20,80]",12,356257,77.3745457459745,74,25.132216671766,male
"[20,80]",1,439392,75.6087019573679,71,27.9757635994851,female
"[20,80]",2,422135,76.0345696972385,71,27.8204731656553,female
"[20,80]",3,464739,75.7889430724682,71,27.3727408464078,female
"[20,80]",4,414293,75.455497137575,71,27.9987642257608,female
"[20,80]",5,451065,74.886919240672,70,27.6896990216057,female
"[20,80]",6,484554,74.2063792574595,70,26.8300391161547,female
"[20,80]",7,488326,73.3695795602552,69,26.8286353886011,female
"[20,80]",8,460656,72.7520902111833,68,26.5675860017054,female
"[20,80]",9,405340,72.9889597421242,68,27.2181297634018,female
"[20,80]",10,412219,73.5440139010248,69,27.7599337240836,female
"[20,80]",11,439382,74.1346423888664,70,27.3005210134647,female
"[20,80]",12,456374,74.7064602037195,70,27.1280611353174,female
"[20,80]",1,790448,76.7338584074811,73,26.7721346797024,both
"[20,80]",2,754372,77.2818480024714,73,27.0916776203177,both
"[20,80]",3,824857,77.0240741797301,73,26.5627566607452,both
"[20,80]",4,730829,76.6841993998227,72,27.1547767800079,both
"[20,80]",5,783450,76.0310334642466,72,26.9496566733571,both
"[20,80]",6,838881,75.3784307029501,71,26.3825140775542,both
"[20,80]",7,847649,74.6694499958356,71,26.7138774787991,both
"[20,80]",8,802876,74.0391269841522,70,26.1492101600009,both
"[20,80]",9,707444,74.2792906405039,70,26.958027789923,both
"[20,80]",10,717900,74.7336910983051,71,27.1017059355208,both
"[20,80]",11,768821,75.2507789133621,71,26.2748653867935,both
"[20,80]",12,812631,75.8787629092749,72,26.310971326651,both
,1,30443,89.8507551589443,81,47.157856105671,both
,2,30224,91.856477491974,82,50.3794075222253,both
,3,32902,91.2940655270358,82,48.456975119574,both
,4,29839,91.3620488198478,82,50.3605343561848,both
,5,32520,89.7954037161206,81,47.3356945602821,both
,6,34325,88.7767441190753,80,45.8827381573079,both
,7,33191,87.7348458782701,79,46.6193454697643,both
,8,29544,86.7347339508909,78,47.6020518931483,both
,9,25545,86.6957403413032,78,45.821108048322,both
,10,27247,87.3567898523941,78,48.2910111399539,both
,11,28231,88.3721348711232,79,52.1677618834156,both
,12,29338,88.6594276144215,80,46.0721363546499,both
