age_group,month,n,mean,median,std,type
"[20,80]",1,128,49.0682538274735,42.7999992370606,27.3342526245813,male
"[20,80]",2,118,51.6724138897041,41.75,38.4132372879451,male
"[20,80]",3,105,46.0213593186684,42.5,25.7075506889816,male
"[20,80]",4,120,44.4771188275289,36.1999988555908,29.8889385332671,male
"[20,80]",5,128,46.6301588066041,41.1000003814697,26.4600809532295,male
"[20,80]",6,100,46.9948978813327,43.7000007629395,24.373647847473,male
"[20,80]",7,123,43.5157025313574,39,25.2457688086851,male
"[20,80]",8,120,46.8398304470515,38.5,26.457287248613,male
"[20,80]",9,95,43.4559140154111,41,22.6666265619229,male
"[20,80]",10,122,45.4258331775665,39.5,27.166611635139,male
"[20,80]",11,95,43.038709732794,41.4000015258789,20.0368792703256,male
"[20,80]",12,140,42.0550723905149,37.5499992370606,21.6175350279626,male
"[20,80]",1,158,45.6732483942797,39.5499992370605,24.5691575842755,female
"[20,80]",2,147,46.7793104549934,40.5999984741211,26.3491090280383,female
"[20,80]",3,189,42.1278075381396,37.5,23.4204827220262,female
"[20,80]",4,143,43.6560282470487,39.9000015258789,23.9286478752868,female
"[20,80]",5,138,48.2088235546561,41.8999996185303,27.2727607732771,female
"[20,80]",6,174,45.4755813936855,40.9500007629395,21.750141144718,female
"[20,80]",7,155,43.2326796257418,40,22.1977262972947,female
"[20,80]",8,134,43.8325758413835,41.4500007629395,22.0920715446047,female
"[20,80]",9,135,48.887217973408,45,24.3005001204462,female
"[20,80]",10,159,47.7879746171493,45,24.6689660254928,female
"[20,80]",11,165,43.6006134770399,40.9000015258789,21.487908062986,female
"[20,80]",12,186,43.8048912701399,37.75,24.7042865551017,female
"[20,80]",1,286,47.0468309160689,40.8500003814697,25.9040962917123,both
"[20,80]",2,265,49.1026617003031,41.2999992370605,32.7384236896795,both
"[20,80]",3,294,43.773630183037,39.0499992370606,25.1980993774449,both
"[20,80]",4,263,44.2003831589359,38,27.3222459751679,both
"[20,80]",5,266,47.7526515884833,41.6499996185303,27.92556102713,both
"[20,80]",6,274,46.1334558532519,42.1000003814697,23.1864291702163,both
"[20,80]",7,278,43.5514492245688,39.2999992370606,24.2368591761118,both
"[20,80]",8,254,45.3876984280253,39.3000011444092,24.7967636734487,both
"[20,80]",9,230,46.8850876657586,42,24.565999145974,both
"[20,80]",10,281,47.0089284454073,42,26.6189752946185,both
"[20,80]",11,260,43.6375969066176,40.9500007629395,21.8105734912236,both
"[20,80]",12,326,43.2120369864099,37.6499996185303,23.9194094623711,both
,1,3,44,44,,both
,3,5,26.5666669209798,27,17.3540584995277,both
,4,3,10.1000003814697,10.1000003814697,,both
,5,4,34.7499990463257,34.7499990463257,17.4655366860882,both
,9,1,23.3999996185303,23.3999996185303,,both
,11,2,,37.5999999046326,,both
,12,2,,62.0499992370606,,both
