age_group,month,n,mean,median,std,type
"[20,80]",1,593,247.173333760572,185.5,217.618247406169,male
"[20,80]",2,546,217.841414768906,175.722816467285,179.122599590435,male
"[20,80]",3,546,251.011364119894,175.849998474121,735.328205323347,male
"[20,80]",4,535,251.705521063523,176,626.064503192134,male
"[20,80]",5,505,208.429207975893,174,139.744304343874,male
"[20,80]",6,515,207.608443262048,175,135.898894563351,male
"[20,80]",7,551,213.178527605338,168.100006103516,175.175001649721,male
"[20,80]",8,486,207.551963847531,180.699996948242,123.873068447492,male
"[20,80]",9,422,218.044681172144,174.947616577148,170.043288414137,male
"[20,80]",10,460,215.118855076586,173.900001525879,188.153036300376,male
"[20,80]",11,545,220.767287415914,175,187.097202318037,male
"[20,80]",12,592,219.215156532546,171,163.194137047495,male
"[20,80]",1,1307,177.545788511908,132.100006103516,228.524015624526,female
"[20,80]",2,1225,176.058650611415,135.100006103516,192.920175461028,female
"[20,80]",3,1335,167.969611412558,135.199996948242,144.269041719127,female
"[20,80]",4,1093,164.726222535686,129,136.930882648286,female
"[20,80]",5,1295,158.718192795281,127,130.969824643721,female
"[20,80]",6,1258,163.831679488522,130.716262817383,129.910138127692,female
"[20,80]",7,1261,158.822565473255,124.412857055664,127.287192583672,female
"[20,80]",8,1176,157.47051118299,122.900001525879,133.210736063501,female
"[20,80]",9,1054,160.187629054842,120.375408172607,160.3589384848,female
"[20,80]",10,1024,159.460883564108,130.5,126.192520461992,female
"[20,80]",11,1189,169.836346768729,132,237.971243887972,female
"[20,80]",12,1330,175.954154317375,130.440887451172,261.23211789801,female
"[20,80]",1,1900,200.513151540347,146.949996948242,234.908856128252,both
"[20,80]",2,1771,191.091648008335,147.100006103516,212.06876464468,both
"[20,80]",3,1881,186.99398214318,146,266.275279105025,both
"[20,80]",4,1628,188.340482995203,144.050003051758,195.681443610264,both
"[20,80]",5,1800,173.297259736201,138.899993896484,138.833476230265,both
"[20,80]",6,1773,177.664593507801,144.139999389648,140.990635214961,both
"[20,80]",7,1812,176.135385221019,137,150.42332887476,both
"[20,80]",8,1662,172.811271822064,138.440856933594,136.470983799291,both
"[20,80]",9,1476,178.847402514971,133,186.167420817278,both
"[20,80]",10,1484,176.849416748253,143.450004577637,147.573945634684,both
"[20,80]",11,1734,193.68500500442,146.300003051758,399.532850383275,both
"[20,80]",12,1922,189.949505202837,142.947738647461,238.502743546027,both
,1,25,444.411595551864,139.309997558594,838.619312954338,both
,2,17,168.160301208496,134.300003051758,82.3113333002442,both
,3,20,147.502589755588,154.240798950195,54.1362873018273,both
,4,18,166.236274719238,133.099998474121,88.4070615067236,both
,5,14,110.339999516805,99.7000007629395,45.2278336757886,both
,6,26,149.541883468628,96,123.083540394929,both
,7,20,161.681507958306,140.551147460938,127.027008111067,both
,8,25,119.479074229365,108.400001525879,56.9733090743776,both
,9,14,147.635542551676,141.41325378418,39.0895427168548,both
,10,16,165.180001395089,139.849998474121,87.7324593308287,both
,11,13,144.120909430764,142.199996948242,103.358570039676,both
,12,23,190.656076976231,169,128.238625812439,both
