age_group,month,n,mean,median,std,type
"[20,80]",1,41,115.779487805489,112.300003051758,56.0299601149654,male
"[20,80]",2,37,160.777143750872,117.5,131.798978705411,male
"[20,80]",3,31,128.206897077889,88.9000015258789,111.638376943895,male
"[20,80]",4,42,111.947499752045,106,63.1272423554862,male
"[20,80]",5,35,117.972726648504,104.5,57.7425500049362,male
"[20,80]",6,37,102.817142813546,97.9000015258789,43.0729374940038,male
"[20,80]",7,50,123.581250747045,86.7000007629395,79.8110590500562,male
"[20,80]",8,35,124.421212861032,94.5999984741211,83.9545364731002,male
"[20,80]",9,27,127.983999023438,105,94.4878194317104,male
"[20,80]",10,37,127.019999912807,110.900001525879,72.4732360727486,male
"[20,80]",11,43,119.117073524289,90.4000015258789,92.7687368164433,male
"[20,80]",12,42,138.074999237061,112.399997711182,91.6702909437712,male
"[20,80]",1,103,115.565346632854,82.5,95.0996964888212,female
"[20,80]",2,101,120.73030300333,98,86.1292032510401,female
"[20,80]",3,69,95.0164177738019,81.5999984741211,55.978969179449,female
"[20,80]",4,65,97.5238097054618,87.6999969482422,51.0465594136515,female
"[20,80]",5,87,110.665882245232,87.0999984741211,87.3491045019283,female
"[20,80]",6,78,121.523684250681,92.3999977111816,111.579538051032,female
"[20,80]",7,101,93.9484847483009,79.1999969482422,69.7002185753139,female
"[20,80]",8,77,98.5373331705729,78,79.2196110935206,female
"[20,80]",9,83,105.351851498639,76.5,101.873053588837,female
"[20,80]",10,58,91.9089290414538,76.2000007629395,48.7748382626903,female
"[20,80]",11,95,94.6354837930331,81.9000015258789,56.00500410051,female
"[20,80]",12,113,120.651351705328,95.5,91.9273493609212,female
"[20,80]",1,144,119.032394785277,93.3499984741211,97.854787385728,both
"[20,80]",2,138,135.095588445663,105.050003051758,114.479706788989,both
"[20,80]",3,100,106.648979770894,84.4500007629395,81.2753530467259,both
"[20,80]",4,107,106.065714372907,88.6999969482422,67.2044128511651,both
"[20,80]",5,122,113.09249979655,90.6000022888184,80.5843732216756,both
"[20,80]",6,115,119.08407079646,95,104.927431259977,both
"[20,80]",7,151,106.375839098988,85.9000015258789,84.5634825520786,both
"[20,80]",8,112,110.219090912559,84.6499977111816,93.7438626359821,both
"[20,80]",9,110,118.290740136747,88.3499984741211,130.606938681602,both
"[20,80]",10,95,107.144086201986,89.5999984741211,65.952486911155,both
"[20,80]",11,138,105.050000148661,83.2000007629395,80.9333986301935,both
"[20,80]",12,155,127.711764678456,99.5999984741211,99.1519021097392,both
,1,2,,89.6499977111816,,both
,2,2,,46.5499992370606,,both
,4,1,48.5999984741211,48.5999984741211,,both
,5,2,,47.7000007629395,,both
,7,1,50.5,50.5,,both
,11,1,76.0999984741211,76.0999984741211,,both
,12,1,278.600006103516,278.600006103516,,both
