age_group,month,n,mean,median,std,type
"[20,80]",1,1037,434.292034684631,430.3447265625,150.857526627267,male
"[20,80]",2,921,427.579356696842,427,155.066989008908,male
"[20,80]",3,999,435.311152451495,424,162.133986776503,male
"[20,80]",4,981,417.249886131871,417,150.7298449917,male
"[20,80]",5,959,413.134844838763,408,148.245550893875,male
"[20,80]",6,967,422.031865832472,411.034393310547,154.604408431276,male
"[20,80]",7,1063,415.184723507356,411,152.467585849092,male
"[20,80]",8,979,420.115156060476,414,146.031678903482,male
"[20,80]",9,887,428.593487244945,419,157.051147193914,male
"[20,80]",10,868,414.312197999095,404.844772338867,154.959506772886,male
"[20,80]",11,1028,409.430957388133,396.620635986328,152.837021725302,male
"[20,80]",12,1086,420.692253102216,413.396499633789,165.208872360069,male
"[20,80]",1,2325,455.27262976294,435.799987792969,178.970946900162,female
"[20,80]",2,2251,457.371968410806,439,187.240229181133,female
"[20,80]",3,2415,458.597868945897,433.200012207031,193.50691173096,female
"[20,80]",4,2207,459.196818151565,444.100006103516,185.895538351155,female
"[20,80]",5,2410,453.082435757071,435.949996948242,185.318454192917,female
"[20,80]",6,2675,443.227134557019,420,181.218015182389,female
"[20,80]",7,2711,450.024805474766,433,183.07093270072,female
"[20,80]",8,2674,458.762501234238,439,188.151702660361,female
"[20,80]",9,2350,446.931550428322,432,177.964932371505,female
"[20,80]",10,2348,438.398645782959,418.850006103516,187.476272847129,female
"[20,80]",11,2490,431.000517733815,411,175.901985264315,female
"[20,80]",12,2725,441.686824969046,417,182.799515707568,female
"[20,80]",1,3362,448.8187148072,433.419998168945,171.30812411924,both
"[20,80]",2,3172,448.69102336001,433,178.856624013985,both
"[20,80]",3,3414,451.705287481432,432,184.776970001207,both
"[20,80]",4,3188,446.199004803364,434,176.511198184452,both
"[20,80]",5,3369,441.510394392519,426.5,176.339004145392,both
"[20,80]",6,3642,437.579629173499,418,174.683019293016,both
"[20,80]",7,3774,440.281338556485,426,176.079013968053,both
"[20,80]",8,3653,448.44458800134,430,178.189818901609,both
"[20,80]",9,3237,441.906128961333,429,172.653794026265,both
"[20,80]",10,3216,431.807332277001,414,179.208140967569,both
"[20,80]",11,3518,424.662932601012,408,170.34126584503,both
"[20,80]",12,3811,435.767298169303,416,178.583568081492,both
,1,32,504.646518961589,464.241333007813,217.023455595847,both
,2,12,588.897424316406,628,159.720087161909,both
,3,18,475.618379592896,447.949996948242,137.713185552085,both
,4,33,507.222615888042,492,186.176963306831,both
,5,15,515.237692025992,508,122.744267479039,both
,6,35,448.005732449618,457,152.54285057997,both
,7,29,607.585710031015,462,430.997890913848,both
,8,26,566.783159891764,566.930969238281,136.351037986629,both
,9,25,458.205673217773,432.275756835938,166.716923150448,both
,10,24,533.107792247426,506.5,176.803955295134,both
,11,17,500.639331054688,468.399993896484,132.354175628793,both
,12,24,502.47285600142,476,190.892013391283,both
