age_group,month,n,mean,median,std,type
"[20,80]",1,474275,240.60234106788,234,62.8762004948705,male
"[20,80]",2,446024,240.543796179601,234,63.0888466380196,male
"[20,80]",3,485766,239.810523297793,233,63.1408159140969,male
"[20,80]",4,432469,238.184226439399,231,62.6729137292196,male
"[20,80]",5,459145,235.672661726052,229,61.6728158554665,male
"[20,80]",6,488519,234.418197741828,228,60.8890305600404,male
"[20,80]",7,498719,233.5604545893,227,60.4251580965308,male
"[20,80]",8,476955,233.021683203464,227,60.2498474499763,male
"[20,80]",9,422104,233.739883117006,227,60.9174416538299,male
"[20,80]",10,425818,235.249497972871,229,61.1825161069999,male
"[20,80]",11,453025,236.783771332279,230,60.9858984864566,male
"[20,80]",12,482514,238.808975202948,232,61.8783251201833,male
"[20,80]",1,642847,269.51501595305,262,69.422836461661,female
"[20,80]",2,616690,269.397663558984,262,69.5082130528853,female
"[20,80]",3,677127,268.033245582114,261,69.1391275501855,female
"[20,80]",4,609973,266.108882526197,259,68.5080681549812,female
"[20,80]",5,668097,263.048813412397,256,67.4572268302859,female
"[20,80]",6,718907,260.941091254762,254,66.6124668194544,female
"[20,80]",7,731272,260.135843094906,253,66.1289039856807,female
"[20,80]",8,693700,259.867755596676,253,66.2017467501905,female
"[20,80]",9,612844,261.152308600344,254,66.3591486920049,female
"[20,80]",10,621251,262.786280648068,256,66.9002539775238,female
"[20,80]",11,651196,265.124577392578,258,67.3143869084761,female
"[20,80]",12,669737,267.843036499462,261,68.370844810076,female
"[20,80]",1,1117122,257.233597032236,250,68.2264194112355,both
"[20,80]",2,1062714,257.288484511338,250,68.3936215069514,both
"[20,80]",3,1162893,256.246940145354,249,68.1352265058764,both
"[20,80]",4,1042442,254.523051784212,247,67.5603116453019,both
"[20,80]",5,1127242,251.900928452691,245,66.5200487989955,both
"[20,80]",6,1207426,250.206545012496,243,65.6586420084542,both
"[20,80]",7,1229991,249.358612958988,242,65.1877423618002,both
"[20,80]",8,1170655,248.936341685748,242,65.1938796566377,both
"[20,80]",9,1034948,249.972730775626,243,65.5963158125532,both
"[20,80]",10,1047069,251.584129368843,245,66.0366307103558,both
"[20,80]",11,1104221,253.496578733391,246,66.2849764190255,both
"[20,80]",12,1152251,255.691324839812,248,67.2835811788307,both
,1,44912,252.090152377332,241,82.847376566688,both
,2,44378,252.271364385541,241,83.065827888115,both
,3,48493,252.332050169388,241,82.5371246651013,both
,4,43990,250.559578151389,239,82.843147306041,both
,5,48064,246.982969186475,236,80.4524101770801,both
,6,50612,244.369537158076,234,78.6140039601376,both
,7,49213,242.339714564894,232,77.9243671069082,both
,8,44851,241.705743710843,231,78.3895482350227,both
,9,39475,243.644537516422,233,78.9698736588112,both
,10,41205,246.052349107459,235,80.3811774143789,both
,11,42394,247.000732721944,236,79.5622332081407,both
,12,43685,250.427732287455,239,81.7492788408707,both
